Transaction Statement
Exchange:,MSE
Market:,Equity
Participant:,BK001
From:,2026-05-18

Client Code,Custodian Code,Symbol,Sell Volume,Buy Volume,Price,Sett. Amount
DEMO001,,AIRTEL,0,1000,17.92,17920.00
DEMO001,,NBM,200,0,56.50,11300.00
DEMO002,,FMBCH,0,150,45.40,6810.00
DEMO002,,NBM,0,300,56.50,16950.00
DEMO003,,TNM,10000,0,1.90,19000.00
DEMO003,,ILLOVO,0,50,150.50,7525.00
DEMO004,,STANDARD,100,0,115.80,11580.00
DEMO004,,PCL,0,40,188.75,7550.00
DEMO005,,FDHB,0,2000,10.10,20200.00
DEMO005,,NICO,500,0,15.10,7550.00
DEMO006,,MPICO,0,5000,2.52,12600.00
DEMO006,,SUNBIRD,800,0,7.05,5640.00
