Date:,2026-05-18
Exchange:,MSE

Symbol,Name,Open,High,Low,Close,PreviousClose,Bid,Offer,Volume
AIRTEL,Airtel Malawi PLC,17.71,17.95,17.70,17.92,17.71,17.90,17.95,18420
BHL,Blantyre Hotels PLC,7.00,7.05,7.00,7.05,7.00,7.00,7.10,500
FDHB,FDH Bank PLC,10.00,10.15,9.98,10.10,10.00,10.05,10.15,9800
FMBCH,FMB Capital Holdings,45.01,45.50,45.00,45.40,45.01,45.30,45.55,2150
ICON,ICON Properties,8.75,8.80,8.70,8.78,8.75,8.75,8.80,3300
ILLOVO,Illovo Sugar Malawi PLC,150.00,151.00,149.50,150.50,150.00,150.00,151.00,1200
MPICO,Malawi Properties Investment Company PLC,2.50,2.55,2.49,2.52,2.50,2.50,2.55,15600
NBM,National Bank of Malawi,56.00,56.75,55.90,56.50,56.00,56.40,56.60,5230
NBS,NBS Bank,14.70,14.95,14.70,14.85,14.70,14.80,14.90,6900
NICO,NICO Holdings PLC,15.00,15.20,14.95,15.10,15.00,15.05,15.15,3400
PCL,Press Corporation PLC,188.00,189.00,187.50,188.75,188.00,188.50,189.00,800
STANDARD,Standard Bank PLC,115.00,116.00,114.80,115.80,115.00,115.50,116.00,1100
SUNBIRD,Sunbird Tourism PLC,7.00,7.10,7.00,7.05,7.00,7.00,7.10,2200
TNM,Telekom Networks Malawi PLC,1.85,1.92,1.85,1.90,1.85,1.88,1.92,68000
