Date:,2026-05-26
Exchange:,MSE
Source:,BrokerKnow demo price list

Symbol,Name,Close
AIRTEL,Airtel Malawi PLC,17.80
BHL,Blantyre Hotels PLC,7.00
FDHB,FDH Bank PLC,10.00
FMB,First Merchant Bank,7.00
FMBCH,FMB Capital Holdings,45.01
ICON,ICON Properties,8.75
ILLOVO,Illovo Sugar Malawi PLC,150.00
MPICO,Malawi Property Investment Company PLC,2.50
NBM,National Bank of Malawi,56.25
NBS,NBS Bank,14.70
NICO,NICO Holdings PLC,15.00
NITL,National Investment Trust PLC,17.50
OML,Old Mutual plc,520.00
OMU,Old Mutual Malawi Limited,1866.01
PCL,Press Corporation PLC,188.00
STANDARD,Standard Bank PLC,115.00
SUNBIRD,Sunbird Tourism PLC,7.00
TNM,Telekom Networks Malawi PLC,1.88
