From:,26/05/2026
Exchange:,MSE
Source:,BrokerKnow demo holdings snapshot

CDSNo,Symbol,Quantity
CEDAXXX0000000000000283,FMB,16446961
CEDAXXX0000000000000281,AIRTEL,5885050
CEDAXXX0000000000000662,NBM,1133041
CEDAXXX0000000000004787,NBS,11791968
CEDAXXX0000000000000402,TNM,43684860
CEDAXXX0000000000000402,NICO,36915443
CEDAXXX0000000000000402,ILLOVO,2935857
CEDAXXX0000000000000383,STANDARD,100219
CEDAXXX0000000000000664,FMB,12000000
CEDAXXX0000000000002516,AIRTEL,4670228
CEDAXXX0000000000002395,NBS,3390765
CEDAXXX0000000000001461,NICO,1001000
CEDAXXX0000000000001693,ILLOVO,163338
CEDAXXX0000000000000158,STANDARD,100000
CEDAXXX0000000000000383,NBM,160740
