Outstanding Orders
Date: 21-Aug-2008
Order No: 4
Order Date: 7/16/2008
Client: Gaucho Nimbaya	[3]
Security : ,Order Qty : ,Order Price : ,Slip No : ,Trade Date : ,Qty : ,Price : ,Broker : ,Contract : ,
RPC Data Ltd ,10000,100.00,123456,7/16/2008,1000,100,CAP,S2968,
RPC Data Ltd ,10000,100.00,654321,7/16/2008,1000,100,MOT,S2969,
RPC Data Ltd ,10000,100.00,321654,7/16/2008,1000,100,STK,S2970,
RPC Data Ltd ,10000,100.00,222555,7/16/2008,1000,222,CAP,S2971,
RPC Data Ltd ,10000,100.00,333555,7/16/2008,1100,100,CAP,S2972,
RPC Data Ltd ,10000,100.00,444555,7/16/2008,1000,100,MOT,S2973,
RPC Data Ltd ,10000,100.00,555555,7/16/2008,1000,125,CAP,S2974,
RPC Data Ltd ,10000,100.00,66666,7/16/2008,1000,133,AAM,S2975,
,,,,,,,,,
,,,,,,,,,,,,

