10022005B02 B        21                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        0
1002200502/10/05 11:02:17AM      1970BB02 B0000000053171LI 0EKPLC  KPLC                          O0000               1000     92.00                                               1B20 BN                        92000.00170220051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
1002200502/10/05 11:02:10AM      1981BB02 B0000000026336LI 0EKQ    KENAIR                        O0000               1000     19.50                                               1B05 BN                        19500.00170220051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
1002200502/10/05 11:02:51AM      1983BB02 B0000000095010LI 0EKQ    KENAIR                        O0000               1086     19.50                                               1B02 BY                        21177.00170220051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
1002200502/10/05 11:02:51AM      1983SB02 B0000000075647LI 0EKQ    KENAIR                        O0000               1086     19.50                                               1B02 BY                        21177.00170220051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
1002200502/10/05 11:02:31AM      1986BB02 B0000000108910LI 0EKQ    KENAIR                        O0000              10018     19.50                                               1B02 BY                       195351.00170220051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
1002200502/10/05 11:02:31AM      1986SB02 B0000000094390LC 0EKQ    KENAIR                        O0000              10018     19.50                                               1B02 BY                       195351.00170220051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
1002200502/10/05 11:02:08AM      1989BB02 B0000000108910LI 0EKQ    KENAIR                        O0000                380     19.60                                               1B16 BN                         7448.00170220051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
1002200502/10/05 11:02:36AM      1990BB02 B0000000108910LI 0EKQ    KENAIR                        O0000               1500     19.60                                               1B05 BN                        29400.00170220051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
1002200502/10/05 11:02:05AM      1991BB02 B0000000111333LI 0EKQ    KENAIR                        O0000               2018     19.60                                               1B16 BN                        39552.80170220051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
1002200502/10/05 11:02:22AM      1998BB02 B0000000052310LC 0ECFC   CFC                           O0000               1080     55.00                                               1B02 BY                        59400.00170220051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
1002200502/10/05 11:02:22AM      1998SB02 B0000000016799LI 0ECFC   CFC                           O0000               1080     55.00                                               1B02 BY                        59400.00170220051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
1002200502/10/05 11:02:18AM      2007SB02 B0000000052310LC 0ECABL  EACABL                        O0000               2000     62.00                                               1B09 BN                       124000.00170220051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
1002200502/10/05 11:02:47AM      2008SB02 B0000000052310LC 0ECABL  EACABL                        O0000               1600     62.00                                               1B09 BN                        99200.00170220051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
1002200502/10/05 11:02:32AM      2015SB02 B0000000024490LI 0EBAMB  BAMB                          O0000                500    100.00                                               1B14 BN                        50000.00170220051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
1002200502/10/05 11:02:02AM      2016SB02 B0000000037818LC 0EFIRE  FIREST                        O0000                263     13.55                                               1B12 BN                         3563.65170220051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
1002200502/10/05 11:02:28AM      2017BB02 B0000000107158LI 0EFIRE  FIREST                        O0000               3649     13.55                                               1B02 BY                        49443.95170220051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
1002200502/10/05 11:02:28AM      2017SB02 B0000000037818LC 0EFIRE  FIREST                        O0000               3649     13.55                                               1B02 BY                        49443.95170220051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
1002200502/10/05 11:02:53AM      2018BB02 B0000000074888LI 0EFIRE  FIREST                        O0000                787     13.55                                               1B02 BY                        10663.85170220051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
1002200502/10/05 11:02:53AM      2018SB02 B0000000037818LC 0EFIRE  FIREST                        O0000                787     13.55                                               1B02 BY                        10663.85170220051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
1002200502/10/05 12:02:53PM      2028BB02 B0000000108910LI 0EKCB   KCB                           O0000               1000     70.50                                               1B06 BN                        70500.00170220051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
1002200502/10/05 12:02:46PM      2033BB02 B0000000041939LI 0ESCBK  SCBK                          O0000                300    130.00                                               1B12 BN                        39000.00170220051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               2
