24032005B02 B        33                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        0
2403200503/24/05 11:03:22AM      9731BB02 B0000000194263LC 0EBAT   BAT                           O0000                100    210.00                                               1B06 BN                        21000.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 11:03:40AM      9732BB02 B0000000108910LI 0ENMG   NMG                           O0000                250    226.00                                               1B02 BY                        56500.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 11:03:40AM      9732SB02 B0000000147303LI 0ENMG   NMG                           O0000                250    226.00                                               1B02 BY                        56500.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 11:03:38AM      9827BB02 B0000000012394LI 0EBOC   BOC                           O0000              18000    142.00                                               1B02 BY                      2556000.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 11:03:38AM      9827SB02 B0000000054925LI 0EBOC   BOC                           O0000              18000    142.00                                               1B02 BY                      2556000.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:03PM      9862BB02 B0000000005029LI 0ENBK   NBK                           O0000                300     18.10                                               1B18 BN                         5430.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:27PM      9863BB02 B0000000005029LI 0ENBK   NBK                           O0000               1375     18.10                                               1B18 BN                        24887.50040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:35PM      9879BB02 B0000000108910LI 0ECABL  EACABL                        O0000                100     55.00                                               1B02 BY                         5500.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:35PM      9879SB02 B0000000011622LI 0ECABL  EACABL                        O0000                100     55.00                                               1B02 BY                         5500.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:01PM      9882SB02 B0000000131016LC 0EEABL  EABL                          O0000                300    111.00                                               1B03 BN                        33300.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:22PM      9884SB02 B0000000131016LC 0EEABL  EABL                          O0000                300    111.00                                               1B03 BN                        33300.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:45PM      9888SB02 B0000000131016LC 0EEABL  EABL                          O0000               1400    111.00                                               1B18 BN                       155400.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:32PM      9891BB02 B0000000005029LI 0ENBK   NBK                           O0000                800     18.50                                               1B12 BN                        14800.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:03PM      9904SB02 B0000000035220LI 0EBAUM  ABAUM                         O0000               1000      8.50                                               1B14 BN                         8500.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:20PM      9906SB02 B0000000035220LI 0EBAUM  ABAUM                         O0000               1450      8.50                                               1B14 BN                        12325.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:10PM      9910SB02 B0000000035220LI 0EBAUM  ABAUM                         O0000               1300      8.55                                               1B05 BN                        11115.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:27PM      9940SB02 B0000000005029LI 0EKQ    KENAIR                        O0000              15000     24.25                                               1B12 BN                       363750.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:36PM      9941BB02 B0000000167711LI 0ESCBK  SCBK                          O0000                200    120.00                                               1B22 BN                        24000.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:58PM      9942BB02 B0000000031399LI 0ESCBK  SCBK                          O0000               2000    120.00                                               1B02 BY                       240000.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:58PM      9942SB02 B0000000118141LI 0ESCBK  SCBK                          O0000               2000    120.00                                               1B02 BY                       240000.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:18PM      9943BB02 B0000000167711LI 0ESCBK  SCBK                          O0000                175    120.00                                               1B02 BY                        21000.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:18PM      9943SB02 B0000000107786LI 0ESCBK  SCBK                          O0000                175    120.00                                               1B02 BY                        21000.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:45PM      9944BB02 B0000000179973LI 0EDTK   DTK                           O0000               2000     33.00                                               1B16 BN                        66000.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:06PM      9946BB02 B0000000108910LI 0EDTK   DTK                           O0000               3000     33.00                                               1B16 BN                        99000.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:48PM      9949BB02 B0000000005029LI 0EDTK   DTK                           O0000               4767     33.00                                               1B16 BN                       157311.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:12PM      9976SB02 B0000000010421LI 0ECFC   CFC                           O0000               2000     55.00                                               1B09 BN                       110000.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:35PM      9978SB02 B0000000004103LI 0ECFC   CFC                           O0000               3000     55.00                                               1B09 BN                       165000.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:09PM      9984SB02 B0000000005029LI 0EKQ    KENAIR                        O0000               5000     24.25                                               1B20 BN                       121250.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2403200503/24/05 12:03:31PM      9985SB02 B0000000063967LI 0EKQ    KENAIR                        O0000               4000     24.25                                               1B20 BN                        97000.00040420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
