25042005B02 B        65                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        0
2504200504/25/05 10:04:01AM     16729SB02 B0000000045810LI 0EJUB   JUB                           O0000               1026     60.00                                               1B14 BN                        61560.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 10:04:05AM     16735BB02 B0000000185582LI 0EBBK   BBK                           O0000                707    216.00                                               1B06 BN                       152712.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 10:04:32AM     16737BB02 B0000000185582LI 0EBBK   BBK                           O0000                132    216.00                                               1B06 BN                        28512.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 10:04:53AM     16739BB02 B0000000009733LI 0EBBK   BBK                           O0000                300    216.00                                               1B06 BN                        64800.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 10:04:16AM     16741BB02 B0000000185582LI 0EBBK   BBK                           O0000                807    216.00                                               1B18 BN                       174312.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 10:04:35AM     16742BB02 B0000000185582LI 0EBBK   BBK                           O0000                240    216.00                                               1B18 BN                        51840.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 10:04:04AM     16761BB02 B0000000005029LI 0ETOTL  TOTAL                         O0000               2000     38.00                                               1B02 BY                        76000.00260420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 10:04:04AM     16761SB02 B0000000130818LC 0ETOTL  TOTAL                         O0000               2000     38.00                                               1B02 BY                        76000.00260420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 10:04:27AM     16804BB02 B0000000185582LI 0ESASN  SASINI                        O0000               1000     32.50                                               1B06 BN                        32500.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 10:04:47AM     16806BB02 B0000000185582LI 0ESASN  SASINI                        O0000              25000     32.50                                               1B23 BN                       812500.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:53AM     16826BB02 B0000000011622LI 0EEABL  EABL                          O0000               1000    114.00                                               1B02 BY                       114000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:53AM     16826SB02 B0000000011444LI 0EEABL  EABL                          O0000               1000    114.00                                               1B02 BY                       114000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:21AM     16827BB02 B0000000014125LI 0EBERG  CBERG                         O0000               5000     28.50                                               1B02 BY                       142500.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:21AM     16827SB02 B0000000020834LI 0EBERG  CBERG                         O0000               5000     28.50                                               1B02 BY                       142500.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:43AM     16828BB02 B0000000014125LI 0EBERG  CBERG                         O0000              15000     28.00                                               1B09 BN                       420000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:34AM     16839SB02 B0000000121169LC 0EKCB   KCB                           O0000             100000     65.00                                               1B02 BY                      6500000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:03AM     16841SB02 B0000000121169LC 0EKCB   KCB                           O0000               4000     65.00                                               1B02 BY                       260000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:24AM     16842SB02 B0000000121169LC 0EKCB   KCB                           O0000              27000     65.00                                               1B02 BY                      1755000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:47AM     16843SB02 B0000000121169LC 0EKCB   KCB                           O0000              15800     65.00                                               1B02 BY                      1027000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:10AM     16844SB02 B0000000121169LC 0EKCB   KCB                           O0000              27000     65.00                                               1B02 BY                      1755000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:30AM     16845SB02 B0000000121169LC 0EKCB   KCB                           O0000              16000     65.00                                               1B02 BY                      1040000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:10AM     16857BB02 B0000000011622LI 0EEABL  EABL                          O0000                970    114.00                                               1B02 BY                       110580.00260420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:10AM     16857SB02 B0000000086193LI 0EEABL  EABL                          O0000                970    114.00                                               1B02 BY                       110580.00260420051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:03AM     16866SB02 B0000000194760LI 0EKQ    KENAIR                        O0000               1210     25.00                                               1B18 BN                        30250.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:49AM     16887SB02 B0000000194760LI 0ECFC   CFC                           O0000               1440     56.00                                               1B22 BN                        80640.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:03AM     16893SB02 B0000000052388LI 0EBAMB  BAMB                          O0000               1064     96.50                                               1B07 BN                       102676.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:03AM     16900SB02 B0000000121169LC 0EKCB   KCB                           O0000              60200     65.00                                               1B20 BN                      3913000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:39AM     16901SB02 B0000000168610LC 0EKCB   KCB                           O0000              13333     65.00                                               1B20 BN                       866645.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:55AM     16902SB02 B0000000168815LC 0EKCB   KCB                           O0000              13333     65.00                                               1B20 BN                       866645.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:56AM     16909SB02 B0000000182834LI 0EKQ    KENAIR                        O0000                500     25.00                                               1B18 BN                        12500.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:32AM     16922BB02 B0000000228516LI 0EDTK   DTK                           O0000                700     34.25                                               1B12 BN                        23975.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:22AM     16935BB02 B0000000009733LI 0EBBK   BBK                           O0000                 80    213.00                                               1B02 BY                        17040.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:22AM     16935SB02 B0000000098809LI 0EBBK   BBK                           O0000                 80    213.00                                               1B02 BY                        17040.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:39AM     16937BB02 B0000000009733LI 0EBBK   BBK                           O0000                 61    213.00                                               1B02 BY                        12993.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:39AM     16937SB02 B0000000103519LI 0EBBK   BBK                           O0000                 61    213.00                                               1B02 BY                        12993.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:43AM     16945SB02 B0000000005029LI 0EMSC   MSC                           O0000              42466     11.95                                               1B23 BN                       507468.70030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:34PM     16965BB02 B0000000228516LI 0EDTK   DTK                           O0000                450     34.00                                               1B18 BN                        15300.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:56PM     16967BB02 B0000000228516LI 0EDTK   DTK                           O0000               1550     34.00                                               1B16 BN                        52700.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:13PM     16978SB02 B0000000014125LI 0EKENO  KENOL                         O0000               4000     68.00                                               1B09 BN                       272000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:46PM     16980SB02 B0000000014125LI 0EKENO  KENOL                         O0000               2390     68.00                                               1B09 BN                       162520.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:29PM     16982SB02 B0000000094803LI 0ESCBK  SCBK                          O0000                825    123.00                                               1B12 BN                       101475.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:12PM     16988BB02 B0000000000906LI 0ENMG   NMG                           O0000               1000    230.00                                               1B02 BY                       230000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:29PM     16990BB02 B0000000005029LI 0ENMG   NMG                           O0000               1000    230.00                                               1B02 BY                       230000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:20PM     16993BB02 B0000000000892LI 0ENMG   NMG                           O0000               5000    230.00                                               1B02 BY                      1150000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:59PM     16994BB02 B0000000012394LI 0ENMG   NMG                           O0000               2000    230.00                                               1B02 BY                       460000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:29PM     16997SB02 B0000000198366LC 0EHFCK  HFCK                          O0000               3920      9.50                                               1B01 BN                        37240.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:47PM     16998BB02 B0000000010421LI 0ENMG   NMG                           O0000                268    230.00                                               1B02 BY                        61640.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:15PM     17001BB02 B0000000093904LI 0ENMG   NMG                           O0000                470    230.00                                               1B02 BY                       108100.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:38PM     17002BB02 B0000000134732LI 0ENMG   NMG                           O0000               1000    230.00                                               1B09 BN                       230000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:57PM     17004BB02 B0000000005029LI 0ENMG   NMG                           O0000               1000    230.00                                               1B09 BN                       230000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:54PM     17008BB02 B0000000060542LI 0ENIC   NIC                           O0000                138     48.00                                               1B20 BN                         6624.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:08PM     17015SB02 B0000000014125LI 0ECMC   CMC                           O0000               1780     48.25                                               1B01 BN                        85885.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:26PM     17022SB02 B0000000018694LI 0EREA   REAVIP                        O0000               1000     11.05                                               1B09 BN                        11050.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:48PM     17023SB02 B0000000021164LI 0EREA   REAVIP                        O0000               1000     11.05                                               1B09 BN                        11050.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:19PM     17024BB02 B0000000157376LI 0EREA   REAVIP                        O0000                607     11.05                                               1B02 BY                         6707.35030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:19PM     17024SB02 B0000000021164LI 0EREA   REAVIP                        O0000                607     11.05                                               1B02 BY                         6707.35030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:40PM     17025SB02 B0000000115037LI 0EREA   REAVIP                        O0000                321     11.05                                               1B12 BN                         3547.05030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:06PM     17026SB02 B0000000096938LI 0EREA   REAVIP                        O0000                800     11.05                                               1B12 BN                         8840.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:29PM     17027SB02 B0000000175579LI 0EREA   REAVIP                        O0000               1500     11.05                                               1B12 BN                        16575.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 01:04:37PM     17031SB02 B0000000014125LI 0ECMC   CMC                           O0000               1000     48.25                                               1B05 BN                        48250.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 01:04:03PM     17032SB02 B0000000014125LI 0ECMC   CMC                           O0000                100     48.25                                               1B05 BN                         4825.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 01:04:21PM     17033SB02 B0000000014125LI 0ECMC   CMC                           O0000                120     48.25                                               1B05 BN                         5790.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 01:04:08PM     17034BB02 B0000000185582LI 0ESASN  SASINI                        O0000              10000     32.25                                               1B23 BN                       322500.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 01:04:36PM     17035BB02 B0000000229164FI 0ESASN  SASINI                        O0000              10000     32.25                                               1B23 BN                       322500.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 01:04:07PM     17036BB02 B0000000009733LI 0ESASN  SASINI                        O0000               5000     32.25                                               1B23 BN                       161250.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:03AM     16841BBBKCC0000000002496LC 0EKCB   KCB                           O0000               4000     65.00                                               1B02 BY                       260000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:47AM     16843BBBKCC0000000001406LC 0EKCB   KCB                           O0000              15800     65.00                                               1B02 BY                      1027000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:10AM     16844BBBKCC0000000002275LC 0EKCB   KCB                           O0000              27000     65.00                                               1B02 BY                      1755000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 11:04:30AM     16845BBBKCC0000000002372LC 0EKCB   KCB                           O0000              16000     65.00                                               1B02 BY                      1040000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:12PM     16988SBBKCC0000000002410LC 0ENMG   NMG                           O0000               1000    230.00                                               1B02 BY                       230000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:29PM     16990SBBKCC0000000002410LC 0ENMG   NMG                           O0000               1000    230.00                                               1B02 BY                       230000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
2504200504/25/05 12:04:20PM     16993SBBKCC0000000002410LC 0ENMG   NMG                           O0000               5000    230.00                                               1B02 BY                      1150000.00030520051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             1
