
                   Holdings for B23 as at  1/7/2005   10:01 am





    Client Registration     Security       Share Quantity     Account Status

     0000000005517LI      NMG  O 0000          4038           BALANCE FREE


     0000000007730LC      ARM  O 0000         50000           BALANCE FREE
     0000000007730LC      BOC  O 0000          195            BALANCE FREE
     0000000007730LC      CARB O 0000          3918           BALANCE FREE


     0000000008044LI      KCB  O 0000           33            BALANCE FREE


     0000000008907LI      BAT  O 0000          1000           BALANCE FREE
     0000000008907LI      EABL O 0000          8800           BALANCE FREE
     0000000008907LI      HFCK O 0000          6000           BALANCE FREE
     0000000008907LI      KCB  O 0000          766            BALANCE FREE
     0000000008907LI      MSC  O 0000          1500           BALANCE FREE
     0000000008907LI      NBK  O 0000          6582           BALANCE FREE
     0000000008907LI      PORT O 0000          900            BALANCE FREE


     0000000012157LI      DTK  O 0000          1750           BALANCE FREE


     0000000017620LI      TOTL O 0000          1500           BALANCE FREE


     0000000018627LI      CMC  O 0000          3000           BALANCE FREE


     0000000019135LI      KCB  O 0000          4198           BALANCE FREE
     0000000019135LI      MSC  O 0000          4500           BALANCE FREE


     0000000026018LI      EABL O 0000          4500           BALANCE FREE
     0000000026018LI      KQ   O 0000          5300           BALANCE FREE
     0000000026018LI      MSC  O 0000         25000           BALANCE FREE


     0000000030503LI      BBK  O 0000          329            BALANCE FREE
     0000000030503LI      NMG  O 0000          702            BALANCE FREE


     0000000033766LI      KCB  O 0000          1000           BALANCE FREE


     0000000033774LI      KCB  O 0000          866            BALANCE FREE
     0000000033774LI      KENO O 0000          500            BALANCE FREE


     0000000033782LI      EABL O 0000          1030           BALANCE FREE
     0000000033782LI      HFCK O 0000          1000           BALANCE FREE
     0000000033782LI      NBK  O 0000          3100           BALANCE FREE


     0000000037117LI      ARM  O 0000          2500           BALANCE FREE
     0000000037117LI      CMC  O 0000          2000           BALANCE FREE
     0000000037117LI      EABL O 0000          3380           BALANCE FREE
     0000000037117LI      PORT O 0000          900            BALANCE FREE


     0000000037125LI      ARM  O 0000          5000           BALANCE FREE
     0000000037125LI      KCB  O 0000          9735           BALANCE FREE
     0000000037125LI      MSC  O 0000         28000           BALANCE FREE
     0000000037125LI      NBK  O 0000          4850           BALANCE FREE


     0000000037141LI      KCB  O 0000          2500           BALANCE FREE
     0000000037141LI      MSC  O 0000         38000           BALANCE FREE


     0000000037206LI      EABL O 0000          1473           BALANCE FREE


     0000000037230LI      BBK  O 0000          198            BALANCE FREE
     0000000037230LI      KPLC O 0000          1700           BALANCE FREE
