TABLE_NAME|COLUMN_NAME
----------|-----------
Agent|Agent_DPA_
Agent|Agent_EIT_
Agent|AgentAddr
Agent|AgentBDate
Agent|AgentCellTel
Agent|AgentContact
Agent|AgentEmail
Agent|AgentFax
Agent|AgentHomeTel
Agent|AgentIDPass
Agent|AgentName
Agent|AgentOfficeTel
Agent|AgentPhoto
Agent|AgentSignature
Agent|Branch_DPA_
Agent|Commission_DPA_
Agent|Gender_DPA_
Agent|Residency_DPA_
Agent|DefaultSelection
Agent|EntityType_DPA_
Agent|AgentOpeningBal
Agent|AgentRegDate
Agent|GenericSetting_DPA_
Agent|GenericSetting_DPA_2
Agent|GenericSetting_DPA_3
Agent|ChangedBy
Agent|TimeChanged
Agent|Deleted
BankAcc|BankAcc_DPA_
BankAcc|BankAcc_EIT_
BankAcc|BankAccNumber
BankAcc|BnkBranch
BankAcc|Client_DPA_
BankAcc|BankAccName
BankAcc|BankNo
BankAcc|Bank_DPA_
Branch|Branch_DPA_
Branch|Branch_EIT_
Branch|BranchDescription
Branch|DefaultSelection
Broker|Broker_DPA_
Broker|Broker_EIT_
Broker|BrokerName
Broker|BrokerCode
Broker|BrokerAddr
Broker|BrokerOfficeTel
Broker|BrokerFax
Broker|EntityType_DPA_
Broker|BrokerOpeningBal
Broker|BrokerRegDate
Client|Agent_DPA_
Client|Branch_DPA_
Client|Class_DPA_
Client|Client_DPA_
Client|Client_EIT_
Client|ClientAddr
Client|ClientBDate
Client|ClientCellTel
Client|ClientContact
Client|ClientEmail
Client|ClientFax
Client|ClientHomeTel
Client|ClientIDPass
Client|ClientName
Client|ClientOfficeTel
Client|ClientPhoto
Client|ClientVIP
Client|Commission_DPA_
Client|Gender_DPA_
Client|Owner_DPA_
Client|Residency_DPA_
Client|ClientCDSNo
Client|ClientPAddr
Client|ClientComment
Client|EntityType_DPA_
Client|ClientOpeningBal
Client|ClientRegDate
Client|OnlineRegistration
Client|CreditLimit
Client|GenericSetting_DPA_
Client|GenericSetting_DPA_2
Client|GenericSetting_DPA_3
Client|TimeChanged
Client|IsCustodian
Client|updateOnDebt
Client|updateOnContract
Client|upDateAcc
Client|ChangedBy
Client|ClientSignature
Client|Deleted
Client|UseContactNameInPortfolioReports
Client|IsNominee
Client|IsFrozen
Client|CreatedBy
Client|TimeCreated
Client|Institution
Client|Institution_DPA_
ClientBalances|client_DPA_
ClientBalances|CurrentBal
ClientTotal|Client_DPA_
ClientTotal|Total
Commission|Commission_DPA_
Commission|Commission_EIT_
Commission|CommissionDescription
Commission|CommissionRate
Commission|DefaultSelection
Commission|BondCommission
Commission|SecurityBoundary
Commission|SecondSecurityBoundary
Commission|BondBoundary
Commission|SecondBondBoundary
Commission|UpperBondCommission
Commission|UpperSecurityCommission
Commission|MedianBondCommission
Commission|MedianSecurityCommission
Commission|MinimumBondCommission
Commission|MinimumSecurityCommission
Commission|CMARegulated
Commission|Immobilised
Commission|SystemMaintained
Commission|Vatable
Contract|Contract_DPA_
Contract|Contract_EIT_
Contract|ContractAPayNo
Contract|ContractBPayNo
Contract|ContractCPayNo
Contract|ContractNCDate
Contract|ContractNCertificate
Contract|Status_DPA_
Contract|ContractDelivered
Contract|ContractDeliveryDate
Contract|ContractTransferNo
Contract|ContractNCDelivered
Contract|Voucher_DPA_
Contract|ContractVouchered
Contract|ClientVoucher_DPA_
Contract|ContractClientVouchered
Contract|BrokerReceiptVoucher_DPA_
Contract|BrokerReceiptVouchered
