TABLE_NAME|COLUMN_NAME|DATA_TYPE|CHARACTER_MAXIMUM_LENGTH|NUMERIC_PRECISION|NUMERIC_SCALE|IS_NULLABLE
----------|-----------|---------|------------------------|-----------------|-------------|-----------
_ATS_Downloaded_Files_|ID|int|NULL|10|0|NO
_ATS_Downloaded_Files_|ATSFilename|nvarchar|255|NULL|NULL|YES
_ATS_Downloaded_Files_|Downloaded|int|NULL|10|0|YES
_CDS_Imported_Files_|CDSFile_DPA_|int|NULL|10|0|NO
_CDS_Imported_Files_|CDSFile_EIT_|nvarchar|40|NULL|NULL|NO
_CDS_Imported_Files_|CDSFileName|nvarchar|50|NULL|NULL|NO
_CDS_Imported_Files_|CDSFileImported|bit|NULL|NULL|NULL|NO
_CDS_Imported_Holdings_|ImportedID|int|NULL|10|0|NO
_CDS_Imported_Holdings_|TradeDate|datetime|NULL|NULL|NULL|YES
_CDS_Imported_Holdings_|TradeTime|varchar|12|NULL|NULL|YES
_CDS_Imported_Holdings_|CDSNo|varchar|50|NULL|NULL|YES
_CDS_Imported_Holdings_|SecurityImportCode|varchar|50|NULL|NULL|YES
_CDS_Imported_Holdings_|Quantity|varchar|50|NULL|NULL|YES
_CDS_Imported_Holdings_|AccountStatus|varchar|255|NULL|NULL|YES
_CDS_Imported_Holdings_|BalanceFree|tinyint|NULL|3|0|YES
_CDS_Imported_Holdings_|Imported|tinyint|NULL|3|0|YES
_CDS_Imported_Holdings_|isRight|bit|NULL|NULL|NULL|YES
_CDS_Imported_Trades_|TradeDate|char|8|NULL|NULL|YES
_CDS_Imported_Trades_|TradeTime|char|19|NULL|NULL|YES
_CDS_Imported_Trades_|CDSRef|char|10|NULL|NULL|YES
_CDS_Imported_Trades_|BuySell|char|1|NULL|NULL|YES
_CDS_Imported_Trades_|ParticipantID|char|4|NULL|NULL|YES
_CDS_Imported_Trades_|ParticipantType|char|1|NULL|NULL|YES
_CDS_Imported_Trades_|ClientPrefix|char|13|NULL|NULL|YES
_CDS_Imported_Trades_|ClientSuffix|char|2|NULL|NULL|YES
_CDS_Imported_Trades_|ClientAccountNo|char|2|NULL|NULL|YES
_CDS_Imported_Trades_|Category|char|1|NULL|NULL|YES
_CDS_Imported_Trades_|IssuerCode|char|4|NULL|NULL|YES
_CDS_Imported_Trades_|DebtType|char|2|NULL|NULL|YES
_CDS_Imported_Trades_|SecurityDescription|char|30|NULL|NULL|YES
_CDS_Imported_Trades_|MainType|char|1|NULL|NULL|YES
_CDS_Imported_Trades_|SubType|char|4|NULL|NULL|YES
_CDS_Imported_Trades_|Quantity|char|19|NULL|NULL|YES
_CDS_Imported_Trades_|Price|char|10|NULL|NULL|YES
_CDS_Imported_Trades_|BrokerageFee|char|17|NULL|NULL|YES
_CDS_Imported_Trades_|CDSFee|char|17|NULL|NULL|YES
_CDS_Imported_Trades_|Interest|char|13|NULL|NULL|YES
_CDS_Imported_Trades_|Status|char|1|NULL|NULL|YES
_CDS_Imported_Trades_|ContraBrokerID|char|4|NULL|NULL|YES
_CDS_Imported_Trades_|ContraBrokerType|char|1|NULL|NULL|YES
