# MSE Daily Price List - 12 May 2026
# Source: Malawi Stock Exchange end-of-day report
# Format: Symbol, Name, Open, High, Low, Close, PreviousClose, Bid, Offer, Volume
Date:,2026-05-12
Exchange:,MSE
,
Symbol,Name,Open,High,Low,Close,PreviousClose,Bid,Offer,Volume
AIRTEL,Airtel Malawi plc,135.50,136.00,135.00,135.75,135.50,135.50,136.00,142500
BHL,Blantyre Hotels Limited,29.50,29.50,29.50,29.50,29.50,29.00,30.00,0
FCB,FDH Bank plc,160.00,162.00,160.00,161.50,160.00,161.00,162.00,85200
FDHB,FDH Holdings plc,160.00,162.00,160.00,161.50,160.00,161.00,162.00,85200
FMBCH,FMB Capital Holdings plc,180.00,182.00,179.50,181.00,180.00,180.50,181.50,53400
ICON,ICON Properties plc,21.50,21.50,21.50,21.50,21.50,21.00,22.00,12000
ILLOVO,Illovo Sugar (Malawi) plc,1750.00,1750.00,1750.00,1750.00,1750.00,1740.00,1760.00,5800
MPICO,MPICO plc,29.94,29.94,29.94,29.94,29.94,29.50,30.00,33001
NBM,National Bank of Malawi plc,2200.00,2210.00,2195.00,2205.00,2200.00,2200.00,2210.00,15600
NBS,NBS Bank plc,98.00,99.00,98.00,98.50,98.00,98.00,99.00,42300
NICO,NICO Holdings plc,260.00,262.00,259.00,261.00,260.00,260.50,261.50,28900
NITL,National Investment Trust Limited,485.00,485.00,485.00,485.00,485.00,480.00,490.00,2400
OMU,Old Mutual plc,2090.00,2095.00,2085.00,2090.00,2090.00,2085.00,2095.00,8200
PCL,Press Corporation plc,1950.00,1960.00,1945.00,1955.00,1950.00,1950.00,1960.00,11500
STANDARD,Standard Bank Malawi plc,2530.00,2540.00,2525.00,2535.00,2530.00,2530.00,2540.00,9300
SUNBIRD,Sunbird Tourism plc,2585.26,2585.26,2585.26,2585.26,2585.26,2580.00,2590.00,1108
TNM,Telekom Networks Malawi plc,29.94,29.94,29.94,29.94,29.94,29.50,30.00,33001
