TRANSACTION STATEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Page:,,,Page 1 of 9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Print Date:,,,46154
,,,,,,,,,,,Exchange:,,,,,MSE,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Print Time:,,,0.6666666666666666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Market:,,,,,MAINBOARD,,Symbol:,,,,--ALL--,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Participant:,,,,,CEDAMWMW,,Custodian:,,,,--ALL--,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,From:,,,,,12/05/2026,,To:,,,,12/05/2026,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Client Code,,,,,,,Custodian Code,,,Symbol,Sell Volume,,,,,Buy Volume,Price,,,,Sett. Amount,,,,,
,CEDAMWMW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,46154.4302662037,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CEDAXXX0000000000000281,,,,,,,,,,TNM,33001,,,,,0,29.94,,,,988049.94,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CEDAXXX0000000000007243,,,,,,,,,,TNM,0,,,,,33001,29.94,,,,988049.94,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CEDAXXX0000000000007243,,,,,,,,,,FDHB,0,,,,,1735,568.92,,,,987076.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CEDAXXX0000000000004342,,,,,,,,,,FDHB,0,,,,,693,568.92,,,,394261.56,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CEDAXXX0000000000007456,,,,,,,,,,FDHB,0,,,,,2171,568.92,,,,1235125,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CEDAXXX0000000000005648,,,,,,,,,,SUNBIRD,190,,,,,0,2585.26,,,,491199.4,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CEDAXXX0000000000007731,,,,,,,,,,SUNBIRD,0,,,,,190,2585.26,,,,491199.4,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CEDAXXX0000000000005648,,,,,,,,,,SUNBIRD,190,,,,,0,2585.26,,,,491199.4,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CEDAXXX0000000000007730,,,,,,,,,,SUNBIRD,0,,,,,190,2585.26,,,,491199.4,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CEDAXXX0000000000004435,,,,,,,,,,SUNBIRD,0,,,,,30,2585.26,,,,77557.8,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CEDAXXX0000000000005648,,,,,,,,,,SUNBIRD,30,,,,,0,2585.26,,,,77557.8,,,,,
